OLD Block Name,Combined Shape Name,Converted On,Status,NOTES
foodvend,air,Alpha.21.0.281,Replaced,Exploit Prevention
cntVendingMachine,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDonorTrader,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZTraderJoel,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZTraderRekt,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZTraderHugh,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZTraderBob,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZTraderJen,air,Alpha.21.0.281,Replaced,Exploit Prevention
plantedGraceCorn1,air,Alpha.21.0.281,Replaced,Exploit Prevention
plantedGraceCorn2,air,Alpha.21.0.281,Replaced,Exploit Prevention
plantedGraceCorn3Harvest,air,Alpha.21.0.281,Replaced,Exploit Prevention
plantedGraceCorn3HarvestPlayer,air,Alpha.21.0.281,Replaced,Exploit Prevention
drinkvend1,air,Alpha.21.0.281,Replaced,Exploit Prevention
drinkvend2,air,Alpha.21.0.281,Replaced,Exploit Prevention
drinkvend3,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZAmmoBench,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecoBench,air,Alpha.21.0.281,Replaced,Exploit Prevention
cntRoboticInbox,air,Alpha.21.0.281,Replaced,Exploit Prevention
cntSecureRoboticInbox,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoffeeMaker,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCoffeeMakerCommercial,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntSodaFountain,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntToaster,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecodecoCookingPot,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCharcoalGrillClosed,air,Alpha.21.0.281,Replaced,Exploit Prevention
SZDecocntCharcoalGrillOpen,air,Alpha.21.0.281,Replaced,Exploit Prevention
